ime,oznaka,tezavnost,avtor,stevilo_sestavin,cas_priprave,cas_kuhanja,skupni_cas,dolzina_navodil,energija_100g,energija_porcija
Paprike z mletim mesom in rižem iz ene ponve,Glavne jedi,1,Su. S.,13,15,30,45,912,130.69,695.75
Pikantne polnjene paprike s tuno in kaprami,Domači pripravki,1,Sanja Sirk,11,45,30,75,1582,84.17,159.13
Drobljenec z jabolki in robidnicami,Sladice,1,M. J.,9,10,25,35,1348,231.22,458.25
Fino slivovo pecivo,Sladice,1,Sanja Sirk,14,28,45,73,1749,271.76,366.88
Domači njoki z omako iz svežega paradižnika,Italijanska,1,M. J.,13,45,45,90,2631,70.56,405.5
Jajčevci z lečo iz pečice,Brez mesa,1,Su. S.,12,15,35,50,966,101.77,499.25
Krhko pecivo s kislo smetano in borovnicami,Sladice,1,Kristina Turk,14,50,40,90,1157,298.32,456.25
Malinove rezine,Zabava,2,M. J.,10,20,20,40,1352,248.14,293.83
Krompirjeva zloženka z mletim mesom in paradižnikom,Kosilo,2,M. J.,11,10,60,70,1257,118.54,682.5
Pečene mesne kroglice s sirom in paradižnikovo omako,Kosilo,1,M. J.,9,15,45,60,1126,157.05,690.25
Hitra sladica s slivami v kozarcu,Sladice,1,Su. S.,13,30,10,40,937,261.71,451.63
Piščančji zrezki v parmezanovi omaki s polentno prilogo,Kosilo,1,Sanja Sirk,11,10,25,35,1255,114.37,521.0
Skutine rezine z malinami (brez peke),Sladice,1,Su. S.,14,45,,45,1530,215.08,253.17
Omleta z bučkami in panceto,Kaj skuhati,1,M. J.,10,15,20,35,1151,163.05,737.0
Bučke v omaki,Omake,1,Sanja Sirk,9,10,30,40,696,55.82,99.5
V pečici pečene polnjene (filane) paprike,Kosilo,1,M. J.,17,30,100,130,1508,146.0,694.5
Sataraš,Balkanska,1,M. J.,7,15,20,35,694,68.62,217.0
Solata s stročjim fižolom in krompirjem,Solate,1,Su. S.,13,25,15,40,780,80.16,304.25
Preprost kolač s slivami,Sladice,1,M. J.,12,15,60,75,1185,370.4,264.38
Affogato,Pijača,1,M. J.,3,5,,5,303,231.3,303.0
Zelenjavna enolončnica z omako pistou,Poletje,1,M. J.,17,15,40,55,1275,75.52,554.5
Pecivo z malinami in pudingom,Sladice,1,Su. S.,16,20,40,60,1327,301.15,338.5
Grška krompirjeva musaka,Kosilo,1,M. J.,16,20,90,110,2110,156.44,640.0
Breskove rezine,Pecivo,1,Su. S.,12,35,55,90,968,217.59,499.5
Bučkin wrap s tuninim nadevom,LCHF,1,Su. S.,14,25,25,50,872,91.89,666.0
Hitri skutini cmoki s sadjem,Kaj skuhati,1,M. J.,7,55,10,65,924,110.74,322.25
Tiramisu semifreddo,Sladice,1,M. J.,9,40,240,280,1868,312.52,323.0
Kremna limonina pita brez peke,Sladice,1,Su. S.,6,15,,15,666,465.29,709.75
Skutina zvezda s špinačo,Zabava,1,Sanja Sirk,13,80,35,115,2095,157.65,342.38
Skutina zvezda s špinačo,Zabava,1,Sanja Sirk,13,80,35,115,2095,157.65,342.38
Polnjeni lignji v paradižnikovi omaki,Ribe in morski sadeži,1,M. J.,10,40,20,60,2063,116.09,450.75
Polnjene paprike brez mesa,Zelenjava,1,Su. S.,16,30,60,90,1714,78.67,462.0
Polpeti iz prosene kaše z zelenjavo,Brez mesa,1,M. J.,12,10,35,45,1365,186.25,365.75
Raffaello cheesecake,Torta,1,Su. S.,15,45,5,50,1385,446.57,629.88
"Stročji fižol s krompirjem, ocvirki in smetano",Slovenska,1,M. J.,5,10,20,30,608,82.92,398.0
Hitra slivova pita,Sladice,1,Su. S.,13,20,45,65,1005,290.9,338.17
Blitva s krompirjem in česnom,Zelenjava,1,M. J.,5,10,35,45,719,51.06,168.25
Sataraš z rižem,Poletje,1,Sanja Sirk,8,10,40,50,811,29.19,111.0
Zavitek z vanilijevo kremo in borovnicami,Sladice,1,M. J.,9,15,35,50,1199,270.21,440.67
Sivkin sirup,Domači pripravki,1,M. J.,6,15,10,25,1438,187.83,3888.0
Beli fižol z blitvo in sirom,Brez mesa,1,M. J.,13,5,15,20,455,101.18,322.0
Poletna torta z malinami,Sladice,2,M. J.,10,30,10,40,1823,342.27,538.75
Lahka musaka z bučkami,Kosilo,2,M. J.,16,15,110,125,1856,166.44,360.75
Lignji po tržaško s tatarsko omako,Kaj skuhati,1,M. J.,12,15,20,35,1661,179.64,487.5
Vložena zelenjava,Domači pripravki,1,Sanja Sirk,8,50,15,65,1135,,
Čokoladni sladoled brez strojčka,Sladice,1,Su. S.,4,10,,10,557,483.21,406.5
Paprike s krompirjem v pečici,Kosilo,1,Sanja Sirk,9,15,45,60,796,58.38,310.75
Piščančje kroglice v zelenjavni omaki,Kosilo,1,M. J.,13,15,30,45,1211,110.39,411.75
Preprosto jogurtovo pecivo z marelicami,Sladice,1,M. J.,10,10,40,50,1238,312.21,394.75
Stročji fižol z zaseko in kislo smetano,Zelenjava,1,M. J.,5,10,30,40,778,76.23,155.0
Poletni krompirjev narastek,Poletje,1,M. J.,8,20,26,46,929,81.02,314.0
Marelična marmelada z manj sladkorja,Domači pripravki,1,M. J.,5,20,45,65,1596,103.3,507.2
Sladica v kozarcu z jagodami in rabarbaro,Sladice,1,M. J.,12,20,15,35,1795,191.84,465.4
Klafuti z breskvami in malinami,Sladice,1,M. J.,13,10,55,65,1300,160.82,223.33
"Enolončnica s papriko, mletim mesom in rižem",Juhe in jedi na žlico,1,M. J.,14,10,45,55,1532,137.81,435.83
Krompirjeva solata s čebulo in slanino,Piknik in žar,1,Su. S.,10,10,30,40,764,99.57,308.25
Hitra bučkina pita s skuto,Zelenjava,1,Su. S.,8,10,30,40,882,164.93,274.33
Hitro skutino pecivo z borovnicami in drobljencem,Sladice,1,Su. S.,17,20,60,80,1031,246.35,717.63
Poletna zelenjavna mineštra,Juhe in jedi na žlico,1,M. J.,16,15,30,45,1146,48.42,98.0
Čokoladna torta brez peke,Torta,1,Su. S.,4,15,,15,884,443.81,872.83
Zapečene bučke in krompir,Poletje,1,M. J.,10,15,50,65,1322,110.68,614.25
Najhitreje pripravljeno testo za pico,Italijanska,1,M. J.,7,40,,40,1279,380.3,465.25
Pistacijeva krema s češnjami v kozarcu,Sladice,1,Kristina Turk,12,30,15,45,1386,280.39,842.67
Tunina jajčna pita brez testa,Piknik in žar,1,M. J.,7,10,35,45,681,180.3,271.33
Pasticciotto,Pecivo,2,Su. S.,15,45,30,75,1351,402.19,429.17
Zapečeni njoki v paradižnikovi omaki z mascarponejem,Kosilo,1,M. J.,13,10,20,30,1421,122.56,404.75
Čokoladna torta brez moke s češnjami in smetano,Brez glutena,1,S. S.,7,30,30,60,1457,324.08,455.13
Hrustljavo pečen mladi krompir,Zelenjava,1,M. J.,5,10,55,65,1489,94.37,201.2
Ražnjiči s svinjino in papriko,Meso,1,M. J.,7,45,8,53,771,159.81,340.0
Sipin golaž z domačimi rezanci,Ribe in morski sadeži,1,Sanja Sirk,16,20,140,160,2024,105.81,606.75
Jagodne rezine brez peke,Sladice,1,Su. S.,10,15,5,20,1176,325.49,550.2
Torta St. Honore (iz MasterChefa),MasterChef,1,MasterChef,17,80,40,120,2199,249.53,764.6
Opera torta (iz MasterChefa),MasterChef,1,MasterChef,23,110,40,150,1537,364.93,2801.75
Paris Brest (iz MasterChefa),MasterChef,1,MasterChef,19,120,30,150,2071,259.71,1199.0
Medena torta medovik (iz MasterChefa),MasterChef,1,MasterChef,8,100,30,130,1381,375.52,509.63
Kvašeni masleni rogljički,Pecivo,2,M. J.,13,180,20,200,2031,389.54,591.38
Polnjene paprike iz pečice,Kaj skuhati,1,M. J.,10,15,35,50,1548,135.97,717.25
Mediteranske piščančje kroglice z jogurtovo pomako,Na hitro,1,M. J.,16,15,20,35,502,159.73,349.0
Polpeti iz blitve in krompirja,Zelenjava,1,Su. S.,11,15,15,30,673,78.38,313.5
Češnjeve kremne rezine,Sladice,1,Su. S.,15,45,15,60,1317,292.39,506.88
Zapečene palačinke z mletim mesom in zelenjavo,Kosilo,1,M. J.,19,20,40,60,1891,196.13,714.0
Piščančji zrezki v kremni omaki s sušenimi paradižniki,Kaj skuhati,1,M. J.,10,5,25,30,1263,233.81,363.25
Hitro pecivo z jagodami,Pecivo,1,Su. S.,9,15,15,30,1031,183.73,98.0
Listnati zavitek z marmelado in mascarponejem,Pecivo,1,M. J.,10,15,30,45,1363,269.83,161.0
Babičino pecivo s sadjem,Pecivo,1,Sanja Sirk,14,10,35,45,985,91.25,52.13
Hitre ovsene rezine s skuto in paradižniki,Zdravo in vegi,1,Su. S.,10,10,45,55,578,158.93,366.5
Ocvrte mesne polpete,Meso,1,M. J.,11,20,15,35,1274,223.14,432.75
Pečene marinirane perutničke,Meso,1,M. J.,9,5,40,45,1179,244.44,500.5
Jagodna pita z mrežo,Sladice,1,Sanja Sirk,11,60,60,120,1788,259.56,409.13
Testenine s paradižnikom in burrato,Testenine in žita,1,Su. S.,7,10,10,20,1036,220.87,1497.5
Češnjeva pita z maskarponejevo kremo,Pomlad,2,M. J.,13,75,40,115,1230,336.84,728.0
Langaš z jogurtom,Predjedi in prigrizki,1,M. J.,8,270,30,300,1475,255.5,428.0
Piščančji file v smetanovi omaki s špinačo in suhimi paradižniki,Meso,1,M. J.,12,5,18,23,1282,164.63,446.5
Jagodna kupola,Sladice,2,Su. S.,10,30,,30,986,172.01,355.67
V pečici pečena vratovina s krompirjem,Kosilo,1,M. J.,6,10,98,108,981,120.65,501.0
Borovničeve cheesecake rezine,Pecivo,1,M. J.,15,15,50,65,1827,282.2,298.25
Pomladna skleda s šparglji,Zdravo in vegi,1,Su. S.,17,10,10,20,867,189.77,732.5
Hitri pita kruhki,Piknik in žar,1,Su. S.,6,20,15,35,600,383.17,288.0
Bezgova panakota z limoninim sirupom,Sladice,1,M. J.,7,10,20,30,1210,328.4,170.0
Palačinke brez mleka,Sladice,1,M. J.,6,10,,10,988,243.63,212.75
Rolada z vanilijevo kremo in jagodami,Sladice,1,Kristina Turk,13,90,15,105,2062,250.18,405.13
Sofficini,Italijanska,2,Sanja Sirk,15,15,25,40,1145,304.43,487.5
Skutin narastek (brez moke),Brez glutena,1,M. J.,11,10,45,55,1216,130.23,192.25
Testenine z morskimi sadeži,Na hitro,1,Su. S.,10,5,15,20,730,152.68,516.5
Krhka torta z malinami,Pomlad,2,M. J.,12,40,55,95,1285,365.35,488.75
Piščančji gyros,Piknik in žar,1,M. J.,24,30,15,45,1569,146.46,644.5
"Pecivo s piškoti, pudingom in višnjami",Sladice,1,Su. S.,8,30,,30,1383,227.65,501.88
Testeninska solata,Piknik in žar,1,Su. S.,12,10,10,20,1039,114.53,348.75
Tunin namaz z jajci,Ribe in morski sadeži,1,M. J.,6,15,10,25,607,184.0,155.25
Borovničev tiramisu v kozarcu,Sladice,1,M. J.,11,30,15,45,1231,367.08,4240.0
Aperol Spritz,Zabava,1,M. J.,5,5,,5,467,,
Domače lepinje,Piknik in žar,2,Su. S.,6,80,10,90,1617,373.4,414.75
Jagodna panakota,Sladice,1,M. J.,12,30,15,45,1812,196.26,109.75
Donavski valovi,Sladice,1,M. J.,15,25,40,65,2273,372.84,394.07
Špargljeva rižota,Brez mesa,1,M. J.,11,10,70,80,1998,117.31,377.5
Kremna piščančja juha s testeninami,Juhe in jedi na žlico,1,Su. S.,16,15,35,50,933,155.19,543.25
Borovničeve ombre rezine,Sladice,1,Kristina Turk,15,30,10,40,1616,331.25,435.6
Tortilje z mletim mesom,Kosilo,1,Su. S.,16,30,30,60,1153,155.89,671.0
Italijansko testo za pico,Italijanska,2,M. J.,5,150,,150,1361,349.65,603.5
Sočni čokoladni browniji brez bele moke,Sladice,1,M. J.,9,10,25,35,1072,425.25,148.44
Hitra rižota z morskimi sadeži,Večerja,1,Sanja Sirk,13,10,25,35,1203,216.82,576.25
Čokoladna rolada,Sladice,1,M. J.,16,60,12,72,2933,335.67,261.9
Jogurtove rezine s kosmiči in sadjem,Sladice,1,Su. S.,13,15,45,60,1038,209.3,1001.0
Kardinalove rezine,Pecivo,1,Sanja Sirk,17,15,35,50,1344,281.73,388.13
Špargljeva kremna juha,Zdravo in vegi,1,M. J.,10,10,20,30,1181,72.83,113.75
Jogurtova torta z borovnicami (brez peke),Torta,1,Kristina Turk,10,199,,199,1707,231.12,305.2
Zapečen krompir s šunko in sirom v bešamel omaki,Kosilo,1,M. J.,6,20,80,100,823,108.54,506.75
Zrezki v zelenjavni omaki,Kaj skuhati,1,Sanja Sirk,11,5,35,40,1090,147.26,496.5
Listnati zavitek z mletim mesom,Kaj skuhati,1,M. J.,12,10,35,45,1286,239.28,1242.67
Špargljevo-bučkina juha s proseno kašo,Juhe in jedi na žlico,1,Sanja Sirk,8,5,35,40,893,50.09,134.75
Bananini mafini,Sladice,1,M. J.,12,15,20,35,1118,260.33,192.75
Masleni piškoti z regratom,Pomlad,1,Su. s.,5,50,20,70,791,487.69,782.75
Pečen krompir s šparglji in slanino,Pomlad,1,M. J.,8,10,40,50,1040,67.28,320.25
Pomladna fokača,Zabava,2,Sanja Sirk,7,100,15,115,1004,316.85,348.17
Vanilijeva panakota z jagodnim prelivom,Sladice,1,M. J.,10,30,15,45,1379,103.36,85.38
Orehovo pecivo s kislo smetano,Pecivo,1,Su. S.,11,20,25,45,675,312.44,758.0
Hitra koruzna zlevanka s koprivami,Kaj skuhati,1,Sanja Sirk,11,10,35,45,969,283.08,1171.25
Velikonočna čokoladna krema,Velika noč,1,Su. s.,6,20,,20,648,287.94,259.2
Slane velikonočne pletenice,Velika noč,2,M. J.,9,100,30,130,1356,438.31,754.25
Polnjena velikonočna jajca (obarvana v pesinem soku),Priložnostno,1,M. J.,10,75,20,95,1289,72.87,159.33
Korenčkova rolada z maskarpone kremo,Velika noč,1,Su. S.,18,40,20,60,2055,231.75,156.33
Kvašeni velikonočni zajčki,Velika noč,1,Su. S.,10,90,15,105,1325,290.87,119.3
Pisana mehiška rižota,Testenine in žita,1,M. J.,15,10,20,30,1072,217.47,672.25
Pehtranova pletenica,Sladice,2,Sanja Sirk,16,60,50,110,1410,216.83,244.33
Čemaževi njoki s skuto in mandlji,Brez mesa,2,Sanja Sirk,9,30,40,70,1523,211.65,627.0
Koruzni njoki s toskansko omako,Kosilo,1,Su. S.,15,20,10,30,1253,300.46,427.25
Svinjski kotleti in krompir iz pečice,Kosilo,1,M. J.,7,15,90,105,870,143.6,638.75
Tiramisu z jagodami,Sladice,1,M. J.,9,30,3,33,1801,226.57,531.13
Potratna rolada,Priložnostno,1,Kristina Turk,15,40,15,55,1845,290.91,417.5
Vanilijeva krema za košarice in ladjice,Sladice,2,M. J.,8,30,10,40,1763,331.66,69.0
Nagubana pita s sirom,Kaj skuhati,1,Su. S.,9,15,45,60,403,168.25,614.25
Puranji zrezki v naravni omaki,Kosilo,1,Sanja Sirk,6,5,20,25,855,152.63,207.0
Nemški velikonočni kolač,Velika noč,1,M. J.,17,30,30,60,1635,346.51,395.63
Rižota s pikantno papriko in korenjem,Priloge,1,Sanja Sirk,9,5,30,35,509,338.53,336.5
Ajdova rižota z gobami in špinačo,Testenine in žita,1,M. J.,12,10,30,40,1615,151.77,518.0
Makova roža,Sladice,2,Sanja Sirk,18,,45,45,1181,404.65,552.17
Hrustljavo pečen krompir,Priloge,1,Su. S.,4,5,55,60,890,68.93,129.25
Piščančji medaljoni v smetanovi omaki,Na hitro,1,M. J.,8,5,16,21,1081,219.01,303.0
Pečena prosena kaša z zelenjavo,Kaj skuhati,1,Su. S.,17,15,50,65,1391,124.69,582.75
Hitro in sočno jabolčno pecivo,Sladice,1,M. J.,12,15,40,55,931,261.49,373.5
Svinjski golaž s smetano in papriko,Kosilo,1,Su. S.,13,15,20,35,876,93.96,243.0
Puranji polpeti z zelišči,Meso,1,M. J.,8,15,10,25,1226,204.83,275.5
Svinjski zrezki v smetanovi omaki,Meso,1,M. J.,7,3,20,23,904,167.14,222.0
Piščančja juha s palačinkinimi zvitki,Juhe in jedi na žlico,2,M. J.,16,20,120,140,1484,179.87,545.0
Krhke Nutelline rolice,Sladice,1,Sanja Sirk,9,15,15,30,1228,425.23,509.0
Hitro orehovo pecivo z mascarpone kremo,Sladice,1,Sanja Sirk,14,15,30,45,699,119.66,423.75
"Lazanja s piščancem, gobami in špinačo",Kosilo,1,M. J.,14,15,55,70,1586,191.69,1262.5
Domača kremšnita,Pecivo,1,Sanja Sirk,10,40,20,60,1475,172.37,254.42
Jabolčni narastek z mandlji,Sladice,1,M. J.,15,10,25,35,1401,227.13,291.67
"Krompirjev narastek z zelenjavo, pršutom in sirom",Kosilo,1,Su. S.,13,15,55,70,1437,106.01,498.5
Pohane šnite (ocvrte kruhove rezine),Slovenska,1,M. J.,6,10,5,15,801,217.46,187.75
Zapečene testenine z bolonjsko omako,Kaj skuhati,1,M. J.,13,15,75,90,1429,182.9,521.5
Orada v pečici s krompirjem,Ribe in morski sadeži,1,M. J.,8,10,40,50,1155,74.29,775.0
Cheesecake z jagodami (brez peke),Sladice,1,M. J.,12,150,,150,1496,296.87,385.5
Domača bolonjska omaka,Omake,1,M. J.,12,10,65,75,1265,143.17,431.0
Sirovi tortelini z brokolijem in slanino,Na hitro,1,M. J.,7,10,10,20,865,284.71,669.25
Palačinke s skuto in rozinami,Sladice,1,M. J.,14,35,20,55,1213,238.03,472.75
Svinjska ribica s pečenim korenjem,Meso,1,Su. S.,13,10,48,58,761,99.83,148.0
Piščančji zrezki v gobovi omaki,Kosilo,1,M. J.,10,10,30,40,1546,127.03,347.25
Oslič s krompirjem in zelenjavo iz pečice,Ribe in morski sadeži,1,Su. S.,11,10,45,55,640,83.65,335.0
Pastirska pita,Meso,2,M. J.,21,35,110,145,2004,154.61,760.63
Zelenjavna enolončnica s čičeriko,Brez mesa,1,M. J.,16,15,30,45,512,98.36,221.25
Puhasti ameriški krofi,Sladice,2,Su. S.,11,165,15,180,2352,365.91,302.0
Kremna juha iz pečene cvetače,Juhe in jedi na žlico,1,M. J.,9,15,55,70,1802,64.23,118.83
Meso iz juhe v omaki,Kosilo,1,Su. S.,14,10,25,35,533,88.55,267.5
Telečji zrezki v čebulni omaki,Kosilo,1,Su. S.,9,10,60,70,633,87.1,242.0
Italijanski krompirjevi kroketi,Predjedi in prigrizki,1,M. J.,8,40,60,100,2031,121.04,378.25
Krhki flancati,Slovenska,2,S. M.,11,50,20,70,1309,341.01,205.5
Ričet s prekajenim svinjskim vratom,Juhe in jedi na žlico,1,M. J.,12,5,75,80,1587,178.01,380.5
Mehki krofi iz pečice,Pust,2,Su. S.,15,60,12,72,1355,360.29,239.67
Kvašen cmok z marmelado (germknödel),Sladice,1,M. J.,11,45,15,60,2111,359.83,439.5
Palačinka iz pečice,Kaj skuhati,1,M. J.,6,10,25,35,1277,243.75,185.25
"Solata z radičem, krompirjem in piščancem",Solate,1,Su. S.,8,10,30,40,967,135.76,424.25
Pečen piščanec in krompir v paradižnikovi omaki,Kosilo,1,M. J.,10,10,55,65,1310,125.02,480.75
Zapečene palačinke z lešnikovim nadevom,Sladice,1,M. J.,9,15,30,45,1531,404.75,270.0
Gratinirana cvetača,Zima,1,M. J.,9,12,40,52,751,104.08,292.5
Čokoladne rezine z banano,Pecivo,2,Kristina Turk,14,40,25,65,1589,412.22,177.93
Zapečeni skutino-špinačni cmoki (gnudi) v paradižnikovi omaki,Brez mesa,1,M. J.,17,15,35,50,1351,123.33,498.25
Karpati torta s sadjem,Sladice,1,M. J.,19,60,45,105,2808,262.36,333.9
Porova kremna juha,Juhe in jedi na žlico,1,Sanja Sirk,11,10,30,40,1103,152.41,189.75
Hitra mesna pita brez testa,Glavne jedi,1,Su. S.,11,15,30,45,684,205.98,479.0
Rafaelo krofi,Sladice,2,Kristina Turk,23,120,30,150,2897,400.42,383.92
Zelenjavna juha s klobaso,Juhe in jedi na žlico,1,M. J.,14,10,27,37,996,90.36,307.75
Svinjski ragu po italijansko,Glavne jedi,2,M. J.,12,15,155,170,1676,138.43,377.25
Limonin kolač z rikoto,Italijanska,1,M. J.,11,10,55,65,939,298.09,304.92
Pečena jajca v začinjeni omaki s fižolom,Jajčne jedi,1,M. J.,11,10,40,50,1645,97.48,253.75
Hitro in sočno skutino pecivo,Sladice,1,Su. S.,13,15,35,50,769,267.22,309.08
Zapečena prosena kaša s suhimi slivami,Slovenska,1,M. J.,9,15,65,80,987,161.12,437.17
Krompirjeva musaka,Kosilo,1,M. J.,12,15,60,75,1147,125.57,492.5
Hitre miške z jabolkom in rozinami,Sladice,1,M. J.,14,10,20,30,1601,256.47,541.5
Bananine rezine s skutino kremo,Sladice,1,Su. S.,16,40,20,60,1086,208.71,513.25
Ajdov kruh z orehi,Slovenska,1,Su. S.,8,90,45,135,968,401.29,655.5
Hrustljavi zdrobovi kroketi,Priloge,2,Sanja Sirk,7,20,20,40,845,196.58,478.75
Njoki z omako carbonara,Italijanska,1,M. J.,8,5,20,25,1062,381.77,867.0
Piščančji paprikaš s smetano,Glavne jedi,2,M. J.,12,10,60,70,1545,162.65,544.0
Čokoladno-kavni mousse,Sladice,2,M. J.,5,20,5,25,1245,472.39,283.0
Mlečno testo za pico,Italijanska,1,M. J.,7,90,,90,1829,387.63,542.0
Hitro skutino pecivo brez moke,Zabava,1,M. J.,11,10,45,55,999,183.47,162.88
Piščanec v smetanovi omaki,Na hitro,1,Su. S.,9,5,20,25,567,197.52,264.75
Kokosovi razpokančki z limono,Božič in novo leto,1,M. J.,10,39,15,54,1504,301.16,187.13
Torta iz beljakov in pudinga,Sladice,1,Sanja Sirk,8,20,35,55,1159,370.68,454.88
Pečen losos s smetanovo omako,Božič in novo leto,1,Su. S.,13,10,20,30,773,228.2,499.75
Pomarančne rezine z mascarponejem,Pecivo,1,Sanja Sirk,14,40,35,75,1643,270.07,311.13
Sočna pečenka z zelenjavno omako,Meso,1,Sanja Sirk,11,15,180,195,1191,166.68,807.83
Čokoladni piškoti s kremo,Božič in novo leto,2,M. J.,15,60,25,85,2124,508.94,415.4
Fileji postrvi v masleni česnovi omaki,Večerja,1,M. J.,8,10,15,25,1546,192.17,288.25
Kvašeni pujski s hrenovkami,Zabava,1,Sanja Sirk,11,100,25,125,870,345.15,182.5
Božični punč,Pijača,1,M. J.,10,5,10,15,671,350.6,44.0
Košarice z jabolki in rumovo kremo z belo čokolado,Božič in novo leto,2,Kristina Turk,15,60,20,80,1810,264.12,121.17
Slana božična drevesa,Video recepti,1,Su. S.,4,10,25,35,655,339.15,318.8
Božični kolač s suhim sadjem,Božič in novo leto,1,M. J.,17,30,65,95,1437,382.47,604.13
Sončna skutina pogača (štajerska gibanica),Slovenska,2,Sanja Sirk,17,90,50,140,1388,200.25,222.17
Svinjska rolada z zeljem in slanino,Meso,1,M. J.,10,15,105,120,1559,167.47,529.33
Praznični cheesecake v kozarcu,Božič in novo leto,1,M. J.,8,20,,20,730,273.53,644.17
Tiramisu kroglice,Zabava,1,M. J.,8,60,,60,1193,360.86,203.0
Sočna makova torta s čokolado,Sladice,1,M. J.,11,20,35,55,2085,421.85,227.5
Praznična sladica v kozarcu,Božič in novo leto,1,M. J.,14,140,15,155,2179,289.1,402.67
Svinjski medaljoni v kremni gobovi omaki,Na hitro,1,M. J.,11,10,20,30,1312,116.7,288.5
Brstični ohrovt z mandlji in čebulo,Zelenjava,1,Su. S.,7,15,25,40,681,107.39,185.25
Brezglutenski piškoti alfajores,Božič in novo leto,1,Su. S.,9,30,8,38,1874,386.39,894.0
Čokoladno-pomarančna smetanova torta,Zabava,2,M. J.,17,40,35,75,1873,278.08,216.33
Kokosovi rogljički s čokolado,Božič in novo leto,1,M. J.,8,80,15,95,981,469.53,330.33
Snežne kepe z vanilijevo omako,Sladice,2,M. J.,9,30,15,45,1436,123.08,286.17
Tartiflette,Kuhinje,1,M. J.,9,10,70,80,1548,163.25,761.25
Parklji,Slovenska,3,B. J.,14,90,25,115,1994,374.01,339.06
Miklavževo medeno pecivo,Sladice,1,M. J.,12,35,40,75,1385,312.72,347.67
Mehki medenjaki z limonino glazuro,Božič in novo leto,1,Su. S.,13,165,12,177,1417,359.19,552.25
Pečeno kislo zelje s kotleti in klobasami,Zima,1,M. J.,8,15,75,90,1135,141.39,804.5
Lečina pečenka,Brez mesa,1,Tjaša Ribič,28,15,60,75,769,216.53,432.33
Mehki medenjaki z limonino glazuro,Božič in novo leto,1,Su. S.,13,165,12,177,1417,359.19,552.25
Butterscotch puding,Sladice,2,M. J.,12,10,10,20,1465,379.78,297.75
Pečeno zelje s sirovo omako,Zelenjava,1,M. J.,8,5,45,50,932,98.94,190.0
Vratovina s kislo repo in pire krompirjem iz pečice,Kosilo,1,M. J.,15,15,65,80,1048,103.08,616.75
Jabolčno pecivo s pudingom,Sladice,1,Sanja Sirk,15,20,25,45,1649,86.84,194.92
Azijska solata s teriyaki prelivom,Zdravo in vegi,1,M. J.,19,25,,25,1085,62.64,79.0
Žličniki z jajcem,Brez mesa,1,M. J.,9,5,15,20,1375,278.34,675.67
Piškoti s kosmiči in jabolki,Sladice,1,M. J.,13,20,15,35,1197,315.53,200.17
Grenadirmarš,Kosilo,1,Su. S.,6,10,40,50,755,145.14,529.75
Zrezki v omaki z ocvrtimi skutinimi kroglicami,Kaj skuhati,1,Sanja Sirk,19,10,80,90,1264,134.48,614.0
Pomarančni razpokančki,Božič in novo leto,1,M. J.,11,30,14,44,1392,395.58,537.0
Piščanec v omaki s kislo smetano in papriko,Kaj skuhati,1,M. J.,9,5,40,45,1353,155.68,456.25
Sladki krompir v pečici,Priloge,1,M. J.,5,10,35,45,951,101.17,259.0
Rezanci alla Papalina,Na hitro,1,M. J.,10,5,25,30,1262,216.7,554.75
Zdravi mafini z jabolki,Sladice,1,M. J.,16,15,25,40,1167,162.68,134.42
Pečena prosena kaša z brusnicami in rozinami,Sladice,1,M. J.,12,10,50,60,1262,151.38,590.0
Odlično testo za pico,Triki in nasveti,1,Su. S.,5,20,,20,1174,356.32,558.0
Kokosova babka s čokolado,Sladice,3,Kristina Turk,15,110,50,160,2129,395.72,612.42
Venec s kakiji,Sladice,1,M. J.,12,10,60,70,1246,423.91,474.5
Bujta repa,Slovenska,2,M. J.,10,15,80,95,1480,168.64,1080.63
Zdrav jabolčni drobljenec (crumble),Sladice,1,M. J.,10,5,10,15,1282,93.35,217.75
Mlinci s piščancem iz pečice,Kaj skuhati,1,Su. S.,10,20,40,60,830,148.43,891.0
Dušeno rdeče zelje z jabolki,Vegetarijanstvo,2,T. D.,10,15,45,60,1929,53.01,188.75
Kvašeni orehovi štruklji,Slovenska,2,Darinka Brožič,20,40,30,70,1158,388.22,898.88
Pečena raca z jabolki,Martinovo,2,M. J.,4,10,80,90,1286,337.64,1384.33
Brizgani piškoti,Sladice,1,Sanja Sirk,10,40,10,50,1091,436.63,172.83
Dušeno rdeče zelje s suhimi slivami,Martinovo,1,M. J.,8,75,15,90,988,93.54,211.63
Česnov kruh s sirom,Predjedi in prigrizki,1,M. J.,8,10,20,30,1006,313.96,1102.0
Pečena jajca po florentinsko,Vegetarijanstvo,1,M. J.,8,5,30,35,675,160.79,657.0
Damini poljubčki (piškoti baci di dama),Sladice,1,M. J.,6,160,25,185,1525,533.92,272.3
Kakijeva rolada,Sladice,1,Sanja Sirk,11,60,15,75,1835,248.29,407.25
Toskanska fižolova enolončnica z ješprenjem,Juhe in jedi na žlico,1,M. J.,12,15,50,65,1513,187.95,422.33
